id,Regions,nameRU (from Regions),nameRU,abbrRU,nameEN,abbrEN
Central_Black_Earth_economic_region,"31,36,46,48,68","Белгородская область, Воронежская область, Курская область, Липецкая область, Тамбовская область",Центрально-Черноземный экономический район,ЦЧЭР,Central Black Earth economic region,CBEER
Central_economic_region,"32,33,37,40,44,77,50,57,62,67,69,71,76","Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Москва, Московская область, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область",Центральный экономический район,ЦЭР,Central economic region,CER
East_Siberian_economic_region,"75,38,24,03,17,19","Забайкальский край, Иркутская область, Красноярский край, Республика Бурятия, Республика Тыва, Республика Хакассия",Восточно-Сибирский экономический район,ВСЭР,East Siberian economic region,ESER
Far_Eastern_economic_region,"28,79,41,49,25,14,65,27,87","Амурская область, Еврейская автономная область, Камчатский край, Магаданская область, Приморский край, Республика Саха - Якутия, Сахалинская область, Хабаровский край, Чукотский автономный округ",Дальневосточный экономический район,ДВЭР,Far Eastern economic region,FEER
North_Caucasus_economic_region,"07,09,23,01,05,06,15,61,26,20,91,92","Кабардино-Балкарская Республика, Карачаево-Черкесская Республика, Краснодарский край, Республика Адыгея, Республика Дагестан, Республика Ингушетия, Республика Северная Осетия — Алания, Ростовская область, Ставропольский край, Чеченская республика, Республика Крым, Севастополь",Северо-Кавказский экономический район,СКЭР,North Caucasus economic region,NCER
Northern_economic_region,"29,35,51,83,10,11","Архангельская область, Вологодская область, Мурманская область, Ненецкий автономный округ, Республика Карелия, Республика Коми",Северный экономический район,СЭР,Northern economic region,NER
Northwestern_economic_region,"39,47,53,60,78","Калининградская область, Ленинградская область, Новгородская область, Псковская область, Санкт-Петербург",Северо-Западный экономический район,СЗЭР,Northwestern economic region,NWER
Urals_economic_region,"45,56,59,02,66,18,74","Курганская область, Оренбургская область, Пермский край, Республика Башкортостан, Свердловская область, Удмуртская Республика, Челябинская область",Уральский экономический район,УЭР,Urals economic region,UER
Volga_economic_region,"30,34,58,08,16,63,64,73","Астраханская область, Волгоградская область, Пензенская область, Республика Калмыкия, Республика Татарстан, Самарская область, Саратовская область, Ульяновская область",Волго-Вятский экономический район,ВВЭР,Volga-Vyatka economic region,VVER
Volga_Vyatka_economic_region,"43,52,12,13,21","Кировская область, Нижегородская область, Республика Марий Эл, Республика Мордовия, Чувашская республика",Поволжский экономический район,ПЭР,Volga economic region,VER
West_Siberian_economic_region,"22,42,54,55,04,70,72,86,89","Алтайский край, Кемеровская область, Новосибирская область, Омская область, Республика Алтай, Томская область, Тюменская область, Ханты-Мансийский автономный округ — Югра, Ямало-Ненецкий автономный округ",Западно-Сибирский экономический район,ЗСЭР,West-Siberian economic region,WSER